Geosas Piotr Sasin #         geosas@wp.pl     #502 248 931
Biuro Usług Geodezyjnych Wycena nieruchomości Piotr Witczak #         geodetapw@wp.pl     #601 847 650
Geo-Bart Bartosz Białek #         bartas0304@o2.pl     #695 415 572
Nadir Usługi Geodezyjne Łukasz Dropia #         lukasz.dropia@gmail.com     #721 038 893
Em-Geo Przedsiębiorstwo Usług Geodezyjnych mgr Bogusław Marzęciak #         biuro@em-geo.pl     #694 187 193
Usługi Geodezyjne Rudgeo Rafał Rudziński #         rudyrafal@gmail.com     #508 984 010
Akant Studio Usług Inżyniersko-Budowlanych Ryszard Duda Mgr Inż. #         studiord13@poczta.onet.pl     #696 783 575
Geopixel Usługi Geodezyjne inż. Łukasz Bokus #         geopixel@o2.pl     #501 522 526
Geopomiar s.c. Usługi Geodezyjne A. Wójcik, A. Wójcik #         geopomiar@geopomiar.info.pl     #505 084 848
Pro.Argeo Usługi Geodezyjne Łukasz Woźniak #         proargeo@gmail.com     #697 716 915
Usługi Geodezyjno-Kartograficzne Jakub Juchniewicz #         geodezja.juchniewicz@wp.pl     #501 474 872
Adrian Cisicki Inż. Usługi Geodezyjne i Kartograficzne #         acis@interia.pl     #694 385 518
Lech Tomaszewski Usługi Geodezyjne #         lechtomaszewski@op.pl     #602 589 204
Geovis Biuro Geodezji i Gospodarki Nieruchomościami #         januszjanzajac@gmail.com     #575 600 975
Geo-Bud Paweł Niedzielski #         geo_bud_niedzielski@wp.pl     #782 601 160
Biuro Usług Geodezyjnych Jan Brzóska Andrzej Drzazga s.c. #         biuro@brzoskadrzazga.pl     #(58) 380 07 71
Bogusław Składzień Usługi Geodezyjne i Kartograficzne #         bskladzien@vp.pl     #506 022 622
Geotras. Mapy Do Celów Projektowych, Podziały, Inwentaryzacje #         biuro@geotras.malbork.pl     #(55) 272 03 45
Lewczuk Patryk Usługi Geodezyjne #         patryk.lewczuk@wp.pl     #693 343 391
Agromiar Przedsiębiorstwo Usług Geodezyjnych Andrzej Leszek Dworecki #         agromiar@poczta.onet.pl     #600 021 443
Pracownia Geodezyjna Geomal Mirosław Szozda #         geomal@op.pl     #501 766 811
Usługi Geodezyjne inż. Błażej Fuczek #         geodezja.fuczek@gmail.com     #783 674 548
Gisprogeo Andrzej Machowski #         geopol@gmail.com     #600 454 329
Geotop II Wiesław Byś #         geotop1@o2.pl     #601 195 520
Geodezja Krzysztof Wachowski #         geodezja.wachowski@gmail.com     #661 471 127
Renmak Centrum BHP Renata Mączka #         biuro@renmak.pl     #501 452 407
Przemysław Milewski Usługi Geodezyjno-Projektowe #         przemekmil@gmail.com     #692 765 999
Geodezja-Kartografia Mariusz Dzida #         m.dzida@gkmd.pl     #513 689 636
Zakład Badań Geologicznych Geogrunt Henryk Kwiatkowski #         kwiatkowski@geogrunt-torun.pl     #603 126 079
Geodeta Przedsiębiorstwo Geodezyjne Andrzej Bursztyn #         info@geodeta.org     #(63) 245 86 16
Niedziela Tomasz. Usługi Geodezyjno Kartograficzne #         tomasz62@interia.eu     #883 761 630
Geoagra Sp. z o.o. Usługi geodezyjne #         geoagra@o2.pl     #(71) 342 48 22
Usługi Geodezyjne Mariusz Wabik #         mariusz.wabik@interia.pl     #602 693 549
Dariusz Niemiec Usługi Geodezyjne #         niemiecda@interia.pl     #691 501 619
Drimgeo Firma Geodezyjno-Projektowa Jacek Bryl #         drimgeo@drimgeo.pl     #501 628 790
Geo-Tech Bartosz Kaczmarek #         geo.tech@o2.pl     #664 956 015
Globus S.C. Usługi Geodezyjne #         globus.sc@op.pl     #(81) 854 11 06
Geo-Lint Rafał Czerny #         geolint@o2.pl     #693 420 261
Biuro Usług Geodezyjnych i Kartograficzych Ka-Rad Geo S.C.Krzysztof Chrustowski, Radosław Kacperski #         karadgeo@onet.eu     #691 795 228
Geodex Sp. z o.o. #         geodex@poczta.wp.pl     #602 103 317
Janocha Robert Usługi Geodezyjne #         robert.janocha@poczta.onet.pl     #607 444 643
Geometr Przedsiębiorstwo Geodezyjne #         firma@geometr.xgeo.pl     #(55) 235 18 80
Geodeta Sławomir Krekora #         kontakt@geodetagrodzisk.pl     #502 270 466
Geonova Nowak Leszek #         geonova@op.pl     #502 246 387
Geopomiar Usługi Geodezyjne Robert Klimczyk #         geopomiar@poczta.onet.pl     #606 232 207
Geoprym Biuro Geodezji i Wyceny Nieruchomości Jacek Sztankowski Usługi geodezyjne dla firm i inwestorów prywatnych Usługi geodezyjne dla firm i inwestorów prywatnych #         sztankos@interia.pl     #664 702 850
MBGiTR sp. z o.o. #         joannaobal@mbgitr.pl     #(14) 626 87 39
Geoplan Wincenty Groński Pracownia Geodezyjna, Kartografia #         geoplan_brzesko@wp.pl     #(14) 686 48 70
ARGgeo Mgr Inż. Robert Górecki #         arggeo@onet.pl     #609 577 923
Ener-Geo Michał Soliwodzki #         biuro@pracowniageodezyjna.com.pl     #515 725 698
Pracownia Usług Geodezyjno-Kartograficznych mgr inż. Lech Woroniecki #         pugik@poczta.onet.pl     #602 666 956
GP Wojciech Pietrzykowski #         uwojtan@poczta.fm     #667 281 604
Biuro Geodezyjne Geopol-Gm Sp. z o.o. #         biuro@geopol-gm.pl     #501 217 907
Geo Net Grzegorz Kubiak #         geonet@poczta.onet.pl     #601 315 023
G e o n o r d - S e r w i s Mariusz Markowski Geodeta #         geonord-serwis@wp.pl     #(58) 774 31 50
Arko Usługi geodezyjne Artur Kopański #         arko-ug@o2.pl     #607 826 246
Usługi Geodezyjne S.C. J. Sosnowski, J. Kuciński #         geodezja.malbork@gmail.com     #604 823 489
eGeo Usługi geodezyjne Marcin Sobala #         geodezja.marcinsobala@wp.pl     #604 101 399
Geo-San Kulczycki Jakub #         geo-san@geo-san.pl     #512 081 999
Abs Kancelaria Geodezyjno Projektowa Wesołowski R #         abskancelaria@poczta.onet.pl     #(23) 673 23 01
ATF Geodezja I Nieruchomości Tomasz Feruś #         atf.nieruchomosci@gmail.com     #695 190 871
Biuro Usług Geodezyjno-Kartograficznych Zbigniew Kempiński #         bugk.kempinski@op.pl     #601 743 195
Geobit. K. Senderowicz #         senderowicz@geototal.com.pl     #601 414 691
Geod s.c. Zakład Usług Geodezyjnych Krzysztof Otrzonsek, Krzysztof Salczyński #         geod@poczta.onet.pl     #606 903 781
Geodezja-Geopoints Piotr Urbański #         501560501@wp.pl     #501 560 501
Geostat Mgr Inż Paweł Korol #         geostat@o2.pl     #511 878 292
Gut s.c. Geodezyjne Urządzanie Terenów Robert I Mieczysław Gut #         gut.robert@wp.pl     #501 392 635
Jadwiga Kuś AGENCJA HANDLOWO-REKLAMOWA ARKUSZ #         arkusz1@poczta.onet.pl     #(59) 810 73 25
M Geo Marzena Pełkowska-Sieklucka #         m-geo@m-geo.pl     #(22) 666 85 51
Mi-Geo Usługi Geodezyjne i Kartograficzne Mirosław Gąsior #         mirek-gasiorek@wp.pl     #503 500 012
Biuro Usług Geodezyjnych Ewa i Krzysztof Mielewczyk #         z18@tlen.pl     #604 386 160
Charysz Piotr, inż. Usługi inżynierskie w budownictwie #         ch_piotr@rz.onet.pl     #660 946 004
Geo-Pasja-Sulechów Krzysztof Gupało #         biuro@geo-pasja.pl     #530 048 748
Janusz Honchera Usługi geodezyjne #         biuro@honchera.com.pl     #602 325 597
Michał Balcer Geodezja #         geodezjabalcer@o2.pl     #509 624 914
Barbara Suchora Geodezja #         barbara.suchora@gmail.com     #694 029 799
Gemiko Mikołaj Nowak #         biuro@gemiko.pl     #604 246 348
Antoni Musiał Przedsiębiorstwo Geodezyjne #         musialantoni@op.pl     #(14) 665 33 30
Geo - Marco Marek Filipski #         geomarco@wp.pl     #603 680 511
Usługi Geodezyjno-kartograficzne Krzysztof Iwański #         1958iwa@gmail.com     #602 559 295
Geoskymap Ewa Wiśniewska #         geoskymap@gmail.com     #605 302 005
##test
Azymut II Krzysztof Zalewski #         geodeta@azymut2.pl     #604 255 684
Geoprojekt Zakład usług geodezyjno-kartograficznych Kolasa Marcin #         marcin_kolasa@interia.pl     #604 236 780
Geo-System Pracownia Geodezyjna Aleksander Gugala #         geosystem@interia.eu     #697 371 209
Knysak Marek Mgr Inż Usługi Geodezyjne #         geodezjaknysak@wp.pl     #605 892 810
Geodezja i Wycena Nieruchomości Cezary Piszcz #         cezary.piszcz@gmail.com     #723 120 867
Area Usługi Geodezyjne Agnieszka Dziubałtowska #         area.geodezja@gmail.com     #507 304 701
Ośrodek Szkolenia i Doradztwa SIMP Maciej Kozera #         odkirsimp@odkirsimp.pl     #(41) 344 33 07
Geo-Centrum Natalia Pastuszak #         geocentrum@vp.pl     #792 793 663
Geodezja I Budownictwo Inż. Łukasz Lelito #         biuro@geodezja.lelito.pl     #500 124 601
Geo Projekt Marcin Kałuziak #         geoprojektkaluziak@gmail.com     #502 127 681
Dariusz Suwała Usługi Geodezyjne #         d.suwala@interia.pl     #603 075 666
Geodet Usługi Geodezyjne Mgr Inż. Jakub Żmuda #         zmuda_jakub@interia.pl     #698 615 801
Aneta Wiśniewska Usługi Geodezyjne i Kartograficzne #         aneta.wisniewska2@gmail.com     #503 064 485
Pracownia geodezyjna #         geodeb@wp.pl     #606 424 787
Terra Geodezja Krzysztof Kospin #         k.kospin@terra-geodezja.pl     #502 522 323
Wawgeo Usługi Geodezyjne Andrzej Bełkowski #         abelkowski@wawgeo.waw.pl     #602 762 013
Geoklas Usługi Geodezyjne I Klasyfikacja Gruntów Sławomir Doczyk #         sdoczyk@gmail.com     #608 021 754
Biuro Usług Geodezyjnych Delta Tomasz Kosieniak #         delta_geodezja@vp.pl     #693 766 711
Dźwigi Krzysztof Kozłowski Usługi Dźwigowe #         kozlowskidzwigi@wp.pl     #696 488 765
Linde Gaz Polska Sp. z o.o.- biuro handlowe #         zapytania@pl.linde-gas.com     #801 588 082
Taurus Mariusz Kaczmarski #         taurus.mk@wp.pl     #502 911 760
Anmar Mariusz Poliński #         anmar.piasek@gmail.com     #601 847 795
Trans-Bet Wytwórnia Betonu Forszmanowicz H.P.J. #         biuro@trans-bet.pl     #(42) 680 11 25
Cm-Construction Sp.z o.o. #         kontakt@cm-construction.pl     #501 631 979
Baumax #         info@baumaxopole.com     #786 229 858
Michał Dziedzic Zakład produkcyjno-usługowy #         zpu@dziedzic-zpu.pl     #(52) 375 05 61
Humac Air Creators Sp. z o.o. #         biuro@humac.pl     #509 961 839
Donako Sp. z o.o. #         office@donako.com.pl     #(71) 736 34 00
Grek &amp; Armorbud - Przedsiębiorstwo Kolejowo-Odwodnieniowe #         biuropkogrek@op.pl     #602 435 197
Strażak Zabezpieczenia przeciwpożarowe Piotr Żmuda, Robert Jabłoński #         strazak@strazak.waw.pl     #606 871 500
San-Bud Przedsiębiorstwo Inżynieryjne Tomasz Śmierzyński #         san-bud.smierzynski@wp.pl     #605 555 481
Usługi Inżynieryjno-Budowlane Maciej Rosiński #         uib.rosinski@o2.pl     #669 570 658
Plany Plus Marcin Góra #         gora.projekty@wp.pl     #609 111 664
Bram-Bud H. Szostek R. Calik K. Kulig Sp.j. #         dyrektor@bram-bud.pl     #(12) 444 54 45
Invest-Kop Usługi Koparko-Ładowarką Krzysztof Górski #         poczta@roboty-ziemne.net.pl     #668 135 380
ULMA Construccion Polska Spółka Akcyjna #         kontakt@ulmaconstruction.pl     #(22) 506 70 00
Kopalnie Kruszyw Komala S.C. Sławomir i Andrzej Komala #         akomala@tlen.pl     #663 492 900
Tomasz Zegar Firma Inżynieryjno Budowlana #         zegar.t@wp.pl     #695 943 578
Elmar Przedsiębiorstwo Inżynieryjno-Budowlane Mariusz Bartolik #         biuro@elmar-wilkowyja.pl     #604 918 958
Władysław Szczerski Zakład Usług Inżynieryjnych #         wladyslaw.szczerski@gmail.com     #515 152 656
Trakcja S.A. #         komunikacja@grupatrakcja.com     #(22) 350 94 44
Kier Biuro inżynieryjno - techniczne kier mgr inż. Mieczysław Łebedyński #         bit-kier@wp.pl     #519 146 982
Hydro-System PPHU Tomasz Paradowski #         biuro@hstp.pl     #603 740 719
Elmort Przedsiębiorstwo elektryczno  inżynieryjne Marcin Ortman #         marcin@elmort.pl     #608 033 974
Toreliusz Piotr Gawlik #         toreliusz.gawlikpiotr@gmail.com     #501 263 283
Spec-Kop Józef Piwowarczyk utwardzanie terenu, prace ziemne, usługi koparką ##500 126 503
Jan Trochim Zakład Robót Instalacyjno-Inżynieryjnych #         j.trochim@trochim.pl     #501 708 600
Euro Top Dariusz Bal #         euro_top@wp.pl     #531 511 768
Przedsiębiorstwo Techniczno - Inżynieryjne Spektrum Mateusz Palion #         spektrumserwis.palion@gmail.com     #570 031 552
Leniart Hydroizolacje Sp. z o.o. #         info@leniart-hydroizolacje.pl     #669 797 572
Zakład Robót Inżynieryjnych i Studniarskich Tomasz Kamiński #         biuro@zriis.pl     #501 420 917
Koszt-Dm Biuro Obsługi Kosztorysowej Budownictwa Dariusz Marciniak #         biuro@kosztdm.pl     #693 353 913
Usługi Sprzętowo - Transportowe Zbigniew Skrzypa #         biuro@skrzypa.com     #609 090 594
Sawbed Sp. z o.o. Sp. k. #         biuro@sawbed.waw.pl     #501 194 071
Piosur PHU Piotr Surowiec #         tir92@tlen.pl     #501 597 567
Ab System Sp. z o.o. #         aruks@ab-system.eu     #(65) 538 00 11
Eurobud Sp. z o.o. #         info@eurobud.zgora.pl     #(68) 327 66 90
Karwot Roman Przedsiębiorstwo Robót Inżynieryjnych #         berga2@wp.pl     #601 494 408
Przedsiębiorstwo Wiertniczo-Geologiczne Tychy Sp. z o.o. #         pwg@pwg.tychy.pl     #(32) 217 48 80
Desto Anna Stodulska #         anna.stodulska@desto.pl     #(12) 647 58 26
K&amp;K Engineering Sp. z o.o. #         info@kk-eng.eu     #662 158 974
Geoglob Usługi Geodezyjne Hubert Skrzeczyński #         hubert.skrzeczynski@gmail.com     #603 340 839
Inżynieria S.A. Przedsiębiorstwo Robót Inżynieryjnych #         inzynieria_sa@o2.pl     #(25) 798 22 53
Usługi Transportowe Roboty Ziemne Ireneusz Puchala #         iroxxl@poczta.onet.pl     #695 604 948
Krusz-Bet s.c. Zakład Inżynieryjno Budowlany Dariusz Kruszewski Adam Chmieliński #         biuro@krusz-bet.pl     #608 336 952
Kolmont Puh Maria Będkowska #         biuro@phukolmont.pl     #733 300 160
Stambet Bud sp.j. #         betoniarnia@stambet-bud.pl     #(22) 755 55 93
Piotr Jóźwik #         piotrjj71@wp.pl     #501 083 712
Geo-Radar Anna Groffik #         info@gpr.pl     #510 052 565
Bik-Projekt Sp. z o.o. #         sekretariat@bik-projekt.pl     #500 060 845
1. Biuro Usług Geodezyjno-Kartograficznych Pomiar Mariusz Szymczyk 2. Usługi Geodezyjno-Kartograficzne Mariusz Szymczyk ##884 994 984
1. Biuro Usług Geodezyjno-Kartograficznych Pomiar S.C. Henryk Foks Mariusz Szymczyk Henryk Zdyb 2. Usługi Geodezyjno-Kartograficzne Henryk Foks #         biuropomiar@o2.pl     #(81) 884 38 81
1. FHU Pebe Piotr Biernacik 2.Geodezja Mgr Inż. Piotr Biernacik ##(33) 861 71 22
1. G.Kamińska i.Walkowski-Walkiewicz P.U.G-K Geoplan 2. Usługi Geodezyjno-Kartograficzne Grażyna Kamińska ##(46) 832 12 15
1. Przedsiębiorstwo Handlowo- Usługowe Włodzimierz Górski 2. Włodzimierz Górski Przedsiębiorstwo Budownictwa Inżynieryjnego  Bio-Stan S.C Lachman&amp;Górski ##605 412 227
1. Przedsiębiorstwo Inżynieryjne Ganctech Paweł Gancewski;2. Zniszcz To Paweł Gancewski ##603 318 808
1. Przedsiębiorstwo Usług Geodezyjnych Geoida Krzysztof Kupiński 2. Krzysztof Kupiński Wspólnik Spółki Cywilnej Geoida #         krzysztofkupinski@wp.pl     #664 976 944
1) Usługi Geodezyjno-Kartograficzne Golowskiw., Landsmann J., Landsmannr. - S.C 2) Usługi Geodezyjno-Kartograficzne Landsmann Romana #         georym@ks.onet.pl     #Oceń firmę i napisz o niej opinię:
1.Dariusz Urban Wspólnik Spółki Cywilnej  Kartoplot  Usługi Geodezyjne i Kartograficzne 2.Kartoplot Dariusz Urban Geodeta Uprawniony #         kartoplot@gmail.com     #Oceń firmę i napisz o niej opinię:
1.Zakład Techniczno - Budowlany Pro - Bud Janusz Sienkiewicz 2. Przedsiębiorstwo Inżynieryjno Budowlane Pro - Bud 3. Przedsiębiorstwo Inżynieryjne Jjj ##(91) 392 55 52
2-Geo S.C. Usługi Geodezyjne Mariusz Czajkowski Marcin Kołacz ##502 853 241
3D Zakład Usług Majątkowych i Geodezyjnych Beata Baran #         bb.baran@wp.pl     #509 312 855
3deling Sp. z o.o. #         mail@3deling.pl     #888 780 098
3dgeoscan Mateusz Baran ##(77) 707 07 39
3G Adam Chojnacki ##607 326 643
3g Geodezja Gerard Grześlak #         biuro@3g-geodezja.pl     #503 769 322
3-Gk Geodezyjna Obsługa Inwestycji Patrycja Kubara #         biuro.3gk@gmail.com     #669 039 539
4M Obsługa Inwestycji Michał Jackowicz-Nowak ##728 848 330
A Geomiar Plus S.C. Usługi Geodezyjne #         geobms@interia.pl     #(81) 884 37 48
A Geomiar Plus Usługi Geodezyjne S.C ##798 483 038
A Hak Przedsiębiorstwo Inżynieryjne Sp. z o.o. #         biuro@a-hak.com.pl     #(42) 687 04 25
A2-Geo Ertman &amp; Wilk Geodezja i Kartografia Andrzej Wilk #         biuro@a2geo.pl     #692 413 410
Ab Geo Usługi Geodezyjne Wioletta Piotrowska #         abgeo.geodezja@gmail.com     #512 717 776
AB Studio ##784 819 766
Abacus S.C. Usługi Geodezyjno-Kartograficzne Denis Ignaszewski Jacek Gaziński #         abacus.zgora@gmail.com     #(68) 322 18 26
Abakus inż Zbyszko Grygierczyk Geodeta uprawiony #         zbyszko.abakus@gmail.com     #509 287 607
Abakus Usługi Budowlane i Geodezyjne ##503 187 140
ABC Usługi Geodezyjne Tomasz Nowak #         abcgeodezja@op.pl     #509 301 891
Abc-Geo Usługi Geodezyjne Łukasz Ligęza #         ligeza.geodeta@gmail.com     #601 324 837
ABE Group Sp. z o.o. ##(22) 692 73 28
Abg Jarosław Wlizło ##604 550 918
AB-Geo A. Bartke Usługi Geodezyjno-Informatyczne #         ab_geo@interia.pl     #692 724 250
Abgeo Usługi Geodezyjne Agata Brol ##695 254 857
Abikorp Przedsiębiorstwo Robót Inżynieryjnych Sp. z o.o. ##(22) 464 84 15
Abo-Geo Geodezja i Kartografia Błażej Orzoł #         biuro@abo-geo.pl     #505 604 148
Abrys-Geo Marek Domański #         domanskim@wp.pl     #602 678 008
ABS Kancelaria Geodezyjno-Projektowa Ryszard Wesołowski #         abskancelaria@poczta.onet.pl     #(23) 673 23 01
Ac Geo Usługi Geodezyjne Aleksander Cieśla ##886 660 108
A.C. Geo Usługi Geodezyjne i Projektowe Anna Czerwińska #         acgeodezja@gmail.com     #508 851 985
AcadGeo Szymon Szczerba #         acadgeo@gmail.com     #504 242 271
Accord Usługi Geodezyjno-Kartograficzne Rajmund Tkocz ##(32) 455 51 27
Acgeo Anna Czarkowska Usługi Geodezyjne #         acgeo.biuro@gmail.com     #607 600 904
Acram Sp. z o.o. ##(16) 648 54 02
Acram Sp. z o.o. i Spółka S.C. ##(16) 648 54 02
Ad Astra Pracownia Geodezyjna Fabian Świgut #         sfabian87@gmail.com     #Oceń firmę i napisz o niej opinię:
AD Projekt Usługi Geodezyjno-Projektowe Daniel Kwilosz #         geodetajaslo@gmail.com     #667 947 288
Adam Giżyński #         agizyns@interia.pl     #696 104 003
Adam Iwański Geoid ##507 786 423
Adam Kotulski Reper Usługi Geodezyjne i Budowlane #         adam.kotulski@wp.pl     #693 150 693
Adam Kowalczyk Mariusz Boruc Investgeo S.C. #         biuro@investgeo.com.pl     #603 511 144
Adam Szefera Pgk Geo Service #         piotr@geodezja-torun.com.pl     #Oceń firmę i napisz o niej opinię:
